id;scene;timestamp;x;y;z;rx;ry;rz
1;1;1772746413597;0.22;0;-13;0;0;0
1;1;1772746413831;0.3222116;1.081759;-13.29481;349.8015;22.93447;352.7084
1;1;1772746413885;0.322145;1.081833;-13.29486;349.7925;22.98978;352.7376
1;1;1772746413939;0.3214283;1.081717;-13.29475;349.9391;22.6017;352.7312
1;1;1772746413994;0.3201953;1.081567;-13.2942;349.9927;21.74274;352.8377
1;1;1772746414052;0.3183255;1.081548;-13.29344;349.9885;20.63304;352.7905
1;1;1772746414105;0.3171194;1.081343;-13.29301;350.1609;19.55043;352.8488
1;1;1772746414159;0.3165797;1.08137;-13.29275;350.2409;19.20117;352.833
1;1;1772746414215;0.3167299;1.081486;-13.29261;350.1632;19.13692;352.7367
1;1;1772746414269;0.3178694;1.081529;-13.29301;350.2089;19.74221;352.6304
1;1;1772746414325;0.3190376;1.081438;-13.29352;350.1749;20.44316;352.5519
1;1;1772746414381;0.3197508;1.081725;-13.29377;350.1435;20.72237;352.3908
1;1;1772746414437;0.319574;1.081851;-13.29396;350.0859;20.50245;352.298
1;1;1772746414492;0.3185031;1.082178;-13.29357;349.942;19.52147;352.151
1;1;1772746414547;0.3154929;1.082683;-13.29253;349.6975;17.80486;352.0149
1;1;1772746414603;0.3119743;1.08299;-13.29141;349.4966;15.30298;352.1367
1;1;1772746414659;0.3071945;1.082984;-13.29031;349.5161;12.06171;352.1723
1;1;1772746414713;0.3020516;1.083239;-13.28926;349.5138;8.712892;352.1696
1;1;1772746414768;0.297159;1.082617;-13.28899;349.7517;5.107391;352.2083
1;1;1772746414896;0.2938162;1.082578;-13.28881;349.8588;3.172767;352.1272
1;1;1772746414949;0.2876913;1.082888;-13.28856;349.4943;358.8758;351.8859
1;1;1772746415005;0.2865529;1.082829;-13.28893;349.4806;358.4052;351.968
1;1;1772746415060;0.2856196;1.082881;-13.28953;349.4745;358.1187;351.8598
1;1;1772746415117;0.2846176;1.083;-13.29027;349.3368;357.5462;352.1142
1;1;1772746415172;0.2837845;1.083053;-13.29084;349.2001;357.3469;352.2546
1;1;1772746415227;0.2836931;1.083107;-13.29139;349.0329;357.4619;352.3965
1;1;1772746415283;0.2839437;1.083341;-13.29162;348.9779;357.8799;352.4151
1;1;1772746415338;0.28449;1.083144;-13.29174;349.0668;358.3329;352.3984
1;1;1772746415394;0.2847438;1.08278;-13.29142;349.2463;358.6995;352.4547
1;1;1772746415450;0.2849024;1.082689;-13.29099;349.3982;358.8464;352.5035
1;1;1772746415506;0.2848991;1.082263;-13.29055;349.6757;358.8419;352.5408
1;1;1772746415561;0.2849523;1.081646;-13.29001;350.0843;358.7937;352.5123
1;1;1772746415617;0.2851265;1.080853;-13.28958;350.5304;358.8301;352.4512
1;1;1772746415673;0.2853416;1.080357;-13.28927;350.7979;358.919;352.4563
1;1;1772746415728;0.2856582;1.080089;-13.28901;350.9999;358.989;352.4575
1;1;1772746415784;0.285779;1.080007;-13.28858;350.9453;359.0168;352.4347
1;1;1772746415895;0.2854365;1.079998;-13.28862;350.9491;359.0102;352.4481
1;1;1772746415950;0.2851582;1.079938;-13.28876;351.01;358.9165;352.4594
1;1;1772746416006;0.2849418;1.079885;-13.28886;351.0024;358.8784;352.5544
1;1;1772746416062;0.2847321;1.079965;-13.2888;351.0165;358.8854;352.5929
1;1;1772746416117;0.2847183;1.079996;-13.2886;351.064;358.9234;352.5901
1;1;1772746416173;0.2849039;1.080006;-13.28841;351.1212;358.9651;352.6461
1;1;1772746416229;0.2851879;1.080094;-13.28841;351.1677;359.0419;352.5537
1;1;1772746416283;0.2854304;1.080111;-13.2883;351.1826;359.1074;352.511
1;1;1772746416340;0.2857808;1.080142;-13.28838;351.1924;359.1875;352.445
1;1;1772746416395;0.2860415;1.080236;-13.28844;351.1193;359.2724;352.3929
1;1;1772746416451;0.2860988;1.080408;-13.2885;351.1032;359.3195;352.4141
1;1;1772746416506;0.2860383;1.080426;-13.28853;351.129;359.3225;352.4499
1;1;1772746416562;0.2860835;1.080558;-13.28847;351.0742;359.3243;352.4308
1;1;1772746416617;0.286099;1.080538;-13.28839;351.143;359.3481;352.4605
1;1;1772746416673;0.2860132;1.080516;-13.28817;351.2037;359.4136;352.5037
1;1;1772746416729;0.2861792;1.080509;-13.2879;351.2635;359.4597;352.4907
1;1;1772746416784;0.2865227;1.080315;-13.28774;351.3696;359.5514;352.4335
1;1;1772746416896;0.2864298;1.080074;-13.2877;351.4183;359.5626;352.4837
1;1;1772746416952;0.2863677;1.079772;-13.28729;351.5266;359.5034;352.5463
1;1;1772746417006;0.2862099;1.079775;-13.28719;351.4884;359.4176;352.5568
1;1;1772746417063;0.285716;1.079726;-13.28743;351.4095;359.3421;352.6653
1;1;1772746417118;0.2853856;1.079855;-13.2877;351.3169;359.3004;352.7251
1;1;1772746417174;0.2851578;1.08013;-13.28796;351.21;359.3018;352.7328
1;1;1772746417229;0.2850753;1.08006;-13.28817;351.1478;359.3358;352.7379
1;1;1772746417285;0.2848475;1.080177;-13.28812;351.1009;359.348;352.8096
1;1;1772746417340;0.2847839;1.080238;-13.28804;351.1142;359.3503;352.8495
1;1;1772746417396;0.2847679;1.080309;-13.28805;351.1483;359.3059;352.8857
1;1;1772746417451;0.2847022;1.08033;-13.28798;351.1471;359.2953;352.8571
1;1;1772746417506;0.2846826;1.080301;-13.28782;351.0962;359.2634;352.9062
1;1;1772746417563;0.2847964;1.080278;-13.28774;351.2176;359.322;352.7779
1;1;1772746417617;0.2850029;1.080218;-13.28765;351.2307;359.3755;352.8598
1;1;1772746417673;0.284893;1.080045;-13.28769;351.1942;359.4247;352.8587
1;1;1772746417729;0.2849427;1.080079;-13.28758;351.1748;359.4305;352.8273
1;1;1772746417784;0.2848789;1.080085;-13.28761;351.2303;359.4178;352.8181
1;1;1772746417898;0.2846403;1.079982;-13.28769;351.2139;359.41;352.8501
1;1;1772746417952;0.2842482;1.079936;-13.28756;351.2806;359.4082;352.9368
1;1;1772746418007;0.2840369;1.079944;-13.28751;351.3654;359.3679;353.0058
