id;scene;timestamp;x;y;z;rx;ry;rz
1;6;1773006438744;0.22;0;-13;0;0;0
1;6;1773006438833;0.2088208;1.125465;-13.00714;0.6479714;358.6453;354.3704
1;6;1773006438885;0.2088152;1.125522;-13.00709;0.5963704;358.6461;354.3822
1;6;1773006438942;0.2088943;1.12529;-13.00708;0.6832072;358.6411;354.3884
1;6;1773006438996;0.2089109;1.125171;-13.00686;0.6936654;358.6405;354.4254
1;6;1773006439051;0.2088591;1.125124;-13.00678;0.633364;358.6251;354.4519
1;6;1773006439107;0.2090001;1.125014;-13.00663;0.7329755;358.6375;354.4119
1;6;1773006439163;0.2091458;1.124922;-13.00692;0.7438617;358.6792;354.385
1;6;1773006439219;0.2093564;1.125103;-13.00705;0.6313149;358.6885;354.3737
1;6;1773006439273;0.2095388;1.125088;-13.00741;0.6271999;358.7068;354.3274
1;6;1773006439329;0.2094981;1.125192;-13.00752;0.5336432;358.6614;354.3292
1;6;1773006439385;0.209372;1.125222;-13.00751;0.5261509;358.6215;354.3287
1;6;1773006439441;0.20936;1.125126;-13.00747;0.5649884;358.6242;354.3438
1;6;1773006439496;0.2093012;1.125149;-13.00745;0.5672875;358.6343;354.3429
1;6;1773006439552;0.2091926;1.125359;-13.00749;0.4953966;358.5963;354.3399
1;6;1773006439608;0.2089013;1.12553;-13.00756;0.3809574;358.4666;354.3594
1;6;1773006439663;0.2081781;1.125876;-13.00768;0.2134583;358.1903;354.3786
1;6;1773006439719;0.2059572;1.126796;-13.00788;359.7415;357.2526;354.4638
1;6;1773006439774;0.2029267;1.128977;-13.00793;358.5937;355.3411;354.1535
1;6;1773006439888;0.2011053;1.129433;-13.00863;357.9759;353.8998;354.1019
1;6;1773006439941;0.1946549;1.132671;-13.01074;355.9221;350.1233;354.277
1;6;1773006439997;0.1926213;1.133479;-13.01153;355.6061;349.224;354.4942
1;6;1773006440053;0.1902481;1.134573;-13.01203;354.7862;348.2018;354.6011
1;6;1773006440109;0.1886053;1.134947;-13.01246;354.8961;347.3365;354.6395
1;6;1773006440165;0.1879058;1.133897;-13.0126;355.1173;346.9796;354.8756
1;6;1773006440220;0.1875116;1.13352;-13.01242;355.5747;347.4263;355.1183
1;6;1773006440275;0.1882768;1.133526;-13.01183;355.519;348.1697;355.2592
1;6;1773006440330;0.1889475;1.13352;-13.01165;355.498;348.573;355.1367
1;6;1773006440385;0.1893735;1.133596;-13.01166;355.4378;348.7131;355.0308
1;6;1773006440443;0.1892975;1.133553;-13.01181;355.5068;348.6117;355.0468
1;6;1773006440498;0.1894353;1.133472;-13.0121;355.5634;348.5306;355.0442
1;6;1773006440554;0.1898245;1.133543;-13.01208;355.6056;348.5963;355.0725
1;6;1773006440610;0.1904641;1.133717;-13.01206;355.5583;348.7873;355.0192
1;6;1773006440665;0.1909707;1.133536;-13.0119;355.6359;348.9781;354.9098
1;6;1773006440720;0.1915097;1.133535;-13.01191;355.6538;349.1586;354.87
1;6;1773006440776;0.1918332;1.13353;-13.01173;355.6519;349.315;354.8771
1;6;1773006440888;0.1919707;1.13352;-13.01167;355.6672;349.3707;354.8394
1;6;1773006440942;0.1925094;1.133593;-13.01144;355.658;349.5406;354.7352
1;6;1773006440997;0.192567;1.1334;-13.01138;355.7391;349.5247;354.7451
1;6;1773006441053;0.1927672;1.133104;-13.01115;355.7856;349.6057;354.7628
1;6;1773006441108;0.1930666;1.133115;-13.0112;355.8097;349.7796;354.7047
1;6;1773006441164;0.1944505;1.133032;-13.01116;355.9402;351.0887;354.6601
1;6;1773006441220;0.1983034;1.131976;-13.01075;356.4746;353.2663;354.7932
1;6;1773006441274;0.2013168;1.131362;-13.01023;356.8884;355.4807;354.6566
1;6;1773006441328;0.2034791;1.130956;-13.01011;356.8285;357.0541;354.6041
1;6;1773006441384;0.2045737;1.131265;-13.00983;356.8745;357.747;354.742
1;6;1773006441440;0.2051362;1.130944;-13.00995;357.0258;357.7671;354.6803
1;6;1773006441495;0.2055513;1.130876;-13.00994;357.0643;357.4697;354.6587
1;6;1773006441550;0.2053772;1.130999;-13.01017;356.9728;357.2545;354.5659
1;6;1773006441606;0.205746;1.131452;-13.0102;356.8845;357.3956;354.4872
1;6;1773006441663;0.2063319;1.131535;-13.01039;356.9246;357.7287;354.5507
1;6;1773006441718;0.2064463;1.131581;-13.01071;356.9144;357.8333;354.5679
1;6;1773006441773;0.2059564;1.131828;-13.01117;356.8275;357.7215;354.5964
1;6;1773006441901;0.2053687;1.132118;-13.01106;356.6139;357.5136;354.6173
