id;scene;timestamp;x;y;z;rx;ry;rz
2;4;1773010111480;0.2568322;1.066085;-13.30928;353.5289;354.6246;357.1846
2;4;1773010111536;0.256757;1.066047;-13.30927;353.5396;354.6436;357.1573
2;4;1773010111592;0.2567641;1.065957;-13.30932;353.5258;354.6756;357.178
2;4;1773010111705;0.2566344;1.065948;-13.30932;353.5201;354.6551;357.1794
2;4;1773010111758;0.2564099;1.066077;-13.30951;353.4628;354.5369;357.1784
2;4;1773010111814;0.2563113;1.066057;-13.30956;353.4775;354.4967;357.1857
2;4;1773010111869;0.256282;1.066015;-13.30962;353.4933;354.483;357.1842
2;4;1773010111925;0.2559871;1.066064;-13.30941;353.4686;354.3091;357.2283
2;4;1773010111981;0.2551335;1.065974;-13.30951;353.5048;353.7857;357.1806
2;4;1773010112036;0.2539713;1.065629;-13.30953;353.7419;353.1237;357.2666
2;4;1773010112092;0.2526867;1.064791;-13.30953;354.1576;352.4518;357.2963
2;4;1773010112147;0.2516368;1.064025;-13.30921;354.6656;351.7939;357.3232
2;4;1773010112203;0.2506021;1.063374;-13.3087;354.9862;351.272;357.346
2;4;1773010112260;0.2497286;1.062803;-13.3083;355.3344;350.7317;357.4226
2;4;1773010112314;0.2484399;1.062085;-13.30809;355.7422;350.0887;357.471
2;4;1773010112368;0.247521;1.061783;-13.30793;356.0117;349.6242;357.6324
2;4;1773010112424;0.2467964;1.061568;-13.30761;356.0244;349.5449;357.7431
2;4;1773010112480;0.2468063;1.061578;-13.30754;356.0202;349.7726;357.8831
2;4;1773010112534;0.2469545;1.061476;-13.30773;356.0307;349.9501;357.9272
2;4;1773010112590;0.2466587;1.061438;-13.30776;356.0743;349.94;357.9806
2;4;1773010112717;0.2463824;1.061513;-13.30771;356.0788;349.8228;358.0299
2;4;1773010112771;0.2462927;1.06153;-13.30786;356.104;349.8027;358.1219
2;4;1773010112826;0.2464164;1.06157;-13.30773;356.1078;349.8856;358.0781
2;4;1773010112881;0.2465135;1.061512;-13.30772;356.1626;349.9345;358.0782
2;4;1773010112937;0.2464963;1.061554;-13.30783;356.1642;349.9343;358.0644
2;4;1773010112993;0.2464208;1.061653;-13.30763;356.1349;349.8894;358.0627
2;4;1773010113049;0.2462553;1.061666;-13.30758;356.1725;349.87;358.0492
2;4;1773010113104;0.2462648;1.061637;-13.30748;356.1854;349.879;358.0714
2;4;1773010113160;0.2462217;1.061712;-13.30735;356.2129;349.9545;358.042
2;4;1773010113214;0.2461869;1.061659;-13.30725;356.2506;350.0052;358.0544
2;4;1773010113270;0.2462093;1.061651;-13.30717;356.2708;350.0613;358.0043
2;4;1773010113326;0.246327;1.061605;-13.30712;356.2787;350.1606;357.9873
2;4;1773010113381;0.2466578;1.061623;-13.30702;356.2459;350.4002;357.9811
2;4;1773010113437;0.2473453;1.061694;-13.30695;356.2325;350.802;357.9946
2;4;1773010113492;0.2482654;1.061689;-13.30683;356.1908;351.3452;358.0384
2;4;1773010113547;0.2491039;1.061764;-13.30679;356.1554;351.817;358.0367
2;4;1773010113603;0.2496793;1.061923;-13.30681;356.0493;352.0886;357.9327
2;4;1773010113728;0.2498631;1.061971;-13.30694;356.0255;352.0565;357.9061
2;4;1773010113783;0.2503647;1.062163;-13.30708;355.8794;352.1781;357.8552
2;4;1773010113838;0.250457;1.062272;-13.30704;355.8559;352.2535;357.8868
2;4;1773010113893;0.250665;1.062181;-13.307;355.899;352.3209;357.8756
2;4;1773010113950;0.250744;1.062093;-13.30686;355.9005;352.352;357.9263
2;4;1773010114005;0.2506664;1.062035;-13.30671;355.9461;352.3775;357.8882
2;4;1773010114060;0.2507299;1.061922;-13.30656;355.999;352.3662;357.8765
2;4;1773010114116;0.2507086;1.061777;-13.30664;356.0055;352.3853;357.8443
2;4;1773010114174;0.2508771;1.061738;-13.30668;355.9902;352.4122;357.845
2;4;1773010114229;0.2510817;1.06173;-13.30669;355.9736;352.4883;357.8038
2;4;1773010114283;0.2512966;1.061756;-13.30673;355.957;352.5313;357.7955
2;4;1773010114338;0.2512619;1.061769;-13.30673;355.9419;352.5869;357.7623
2;4;1773010114394;0.2514277;1.061792;-13.30689;355.9374;352.638;357.7195
2;4;1773010114450;0.2514979;1.061805;-13.3068;355.9329;352.6926;357.6892
2;4;1773010114506;0.2516877;1.061803;-13.30686;355.9241;352.6957;357.6607
2;4;1773010114561;0.2516583;1.061825;-13.30685;355.942;352.6981;357.6719
2;4;1773010114617;0.2516124;1.061836;-13.3069;355.9183;352.6813;357.6663
2;4;1773010114730;0.2516359;1.061969;-13.30696;355.9012;352.6782;357.6456
2;4;1773010114784;0.2518116;1.061985;-13.30696;355.865;352.7656;357.6443
2;4;1773010114839;0.251851;1.061999;-13.30701;355.8888;352.8204;357.593
2;4;1773010114894;0.2518779;1.061917;-13.30693;355.9143;352.8513;357.599
2;4;1773010114951;0.2518928;1.06193;-13.30689;355.9038;352.8542;357.5611
2;4;1773010115005;0.2519517;1.062047;-13.30697;355.8949;352.8883;357.5475
2;4;1773010115061;0.2520701;1.062018;-13.30695;355.8607;352.9279;357.5614
2;4;1773010115117;0.2520955;1.06213;-13.307;355.8263;352.9428;357.5628
2;4;1773010115173;0.252157;1.06211;-13.30704;355.8045;352.9306;357.5627
2;4;1773010115228;0.2522112;1.062177;-13.30699;355.7822;352.9543;357.5327
2;4;1773010115284;0.2523197;1.062154;-13.30684;355.7938;352.9678;357.5529
2;4;1773010115340;0.2523979;1.062023;-13.30673;355.8576;353.0285;357.5192
2;4;1773010115394;0.252491;1.06202;-13.30673;355.8549;353.0527;357.5337
2;4;1773010115450;0.2527797;1.062165;-13.30661;355.7691;353.1998;357.4962
