id;scene;timestamp;x;y;z;rx;ry;rz
2;3;1773009965158;0.22;0;-13;0;0;0
2;3;1773009965245;0.2650395;1.062638;-13.30695;355.8656;359.5107;357.0517
2;3;1773009965299;0.2650698;1.06258;-13.30691;355.888;359.4837;357.0638
2;3;1773009965354;0.2650798;1.062602;-13.30678;355.9102;359.4793;357.026
2;3;1773009965410;0.2651987;1.062518;-13.30661;355.9063;359.4881;357.0382
2;3;1773009965464;0.2652869;1.062327;-13.30657;356.0378;359.5272;357.0242
2;3;1773009965519;0.2652642;1.062303;-13.30655;356.0149;359.5166;356.9901
2;3;1773009965575;0.2652121;1.062331;-13.30656;355.9946;359.4894;357.0172
2;3;1773009965630;0.2651777;1.062246;-13.30663;355.9893;359.5149;357.025
2;3;1773009965687;0.2652402;1.062267;-13.30676;355.9346;359.5258;357.0463
2;3;1773009965742;0.2652996;1.062366;-13.30682;355.9063;359.5494;356.9874
2;3;1773009965798;0.2653136;1.062355;-13.30691;355.9022;359.5669;356.988
2;3;1773009965854;0.2652714;1.062404;-13.30696;355.8838;359.5484;356.9872
2;3;1773009965910;0.265253;1.06247;-13.307;355.8793;359.5337;356.9848
2;3;1773009965966;0.2652971;1.062475;-13.30715;355.877;359.5285;356.9901
2;3;1773009966021;0.2651762;1.062585;-13.30716;355.8441;359.508;357.0137
2;3;1773009966075;0.2650309;1.062662;-13.3071;355.7982;359.3473;357.0318
2;3;1773009966132;0.2638412;1.062784;-13.30712;355.8057;358.6123;356.9976
2;3;1773009966186;0.2608717;1.063066;-13.30735;355.6624;357.0667;356.9508
2;3;1773009966300;0.2594205;1.063167;-13.30753;355.6053;356.0254;357.0828
2;3;1773009966354;0.2528747;1.063417;-13.30828;355.4643;352.4224;357.2006
2;3;1773009966410;0.2504382;1.063298;-13.30846;355.4685;350.9675;357.316
2;3;1773009966466;0.2484881;1.062964;-13.30854;355.6478;349.7725;357.4463
2;3;1773009966521;0.2463218;1.062726;-13.30867;355.8188;348.7206;357.6956
2;3;1773009966577;0.2450723;1.062202;-13.30861;356.0644;348.0098;357.8059
2;3;1773009966632;0.2444034;1.062372;-13.30836;356.0236;347.8098;357.9773
2;3;1773009966687;0.2442489;1.062511;-13.30817;355.8484;348.4206;357.9902
2;3;1773009966743;0.2450722;1.062513;-13.30839;355.8839;348.9945;358.0263
2;3;1773009966798;0.2454081;1.062534;-13.30879;355.8955;349.068;357.9844
2;3;1773009966854;0.245464;1.062566;-13.30906;355.9038;348.9757;358.0098
2;3;1773009966910;0.2455895;1.062542;-13.30911;355.9365;348.853;357.9905
2;3;1773009966966;0.2458699;1.062394;-13.30889;355.9804;348.9032;357.9629
2;3;1773009967021;0.2462259;1.062298;-13.30862;356.0359;349.0593;357.907
2;3;1773009967076;0.2465322;1.06214;-13.30839;356.1394;349.1866;357.9324
2;3;1773009967132;0.2465996;1.062114;-13.30828;356.2045;349.3178;357.8336
2;3;1773009967188;0.2465509;1.061975;-13.30834;356.2083;349.3066;357.8705
2;3;1773009967301;0.2463904;1.061977;-13.30835;356.1843;349.2442;357.8837
2;3;1773009967355;0.246155;1.061975;-13.30873;356.1375;349.2281;357.909
2;3;1773009967410;0.2461682;1.062095;-13.30865;356.1209;349.3202;357.9765
2;3;1773009967465;0.2462863;1.06219;-13.30863;356.1275;349.4451;357.9651
2;3;1773009967521;0.2464762;1.062151;-13.30866;356.1266;349.5403;357.9872
2;3;1773009967577;0.246717;1.062279;-13.30863;356.1537;349.6527;357.9165
2;3;1773009967632;0.2469585;1.062341;-13.3085;356.1752;349.7112;357.8734
2;3;1773009967688;0.247168;1.062322;-13.30843;356.1257;349.7669;357.8943
2;3;1773009967743;0.2471772;1.06242;-13.30831;356.1457;349.7991;357.9418
2;3;1773009967799;0.2471727;1.062288;-13.30819;356.1963;349.7951;357.9443
