id;scene;timestamp;x;y;z;rx;ry;rz
1;2;1773006336016;0.22;0;-13;0;0;0
1;2;1773006336101;0.2169801;1.12526;-13.0064;0.1456999;0.1965473;355.5187
1;2;1773006336160;0.2168448;1.125148;-13.00632;0.185449;0.2096926;355.5628
1;2;1773006336219;0.2166246;1.12496;-13.00629;0.2889579;0.1907933;355.6375
1;2;1773006336275;0.2165883;1.124826;-13.00628;0.325813;0.1511659;355.605
1;2;1773006336330;0.216645;1.124984;-13.00612;0.2089056;0.09434111;355.5114
1;2;1773006336387;0.2166163;1.124968;-13.00617;0.1835681;0.07858431;355.4605
1;2;1773006336442;0.2166565;1.124864;-13.0063;0.2476176;0.119179;355.5099
1;2;1773006336497;0.2165639;1.124918;-13.00638;0.190298;0.1201539;355.5681
1;2;1773006336553;0.216496;1.124988;-13.00632;0.07868249;0.02436432;355.6331
1;2;1773006336609;0.2165278;1.125071;-13.0064;0.09999805;0.03793522;355.4404
1;2;1773006336664;0.2167689;1.124962;-13.00651;0.1386654;0.0527841;355.4734
1;2;1773006336720;0.217093;1.125004;-13.00665;0.1357179;0.1208833;355.4807
1;2;1773006336777;0.217271;1.125106;-13.00672;0.0870418;0.1406161;355.4547
1;2;1773006336832;0.2174484;1.125206;-13.00656;359.9492;0.1142063;355.4417
1;2;1773006336887;0.2176384;1.126258;-13.00637;359.0126;0.2240984;355.4863
1;2;1773006336943;0.2184364;1.131796;-13.00715;356.2217;0.8095687;355.4776
1;2;1773006336999;0.2192428;1.132737;-13.0099;355.0133;1.337073;355.4002
1;2;1773006337153;0.2204406;1.134923;-13.01219;353.9909;2.247997;355.409
1;2;1773006337206;0.2232724;1.139753;-13.01476;350.8713;4.095369;355.6194
1;2;1773006337262;0.2247907;1.142965;-13.01514;349.0487;5.274648;355.5639
1;2;1773006337319;0.2250278;1.142652;-13.0163;348.5743;5.471907;355.2853
1;2;1773006337374;0.2252349;1.142196;-13.01689;348.8686;5.310597;355.2616
1;2;1773006337429;0.2251319;1.142101;-13.01698;349.3067;4.92745;355.2112
1;2;1773006337485;0.2251232;1.142285;-13.0168;349.0357;4.619586;355.2336
1;2;1773006337540;0.2253649;1.143252;-13.0165;348.6548;4.707535;355.1869
1;2;1773006337597;0.2257574;1.143034;-13.01663;348.7384;4.879655;355.0775
1;2;1773006337652;0.2258932;1.142621;-13.01686;349.0381;4.831614;355.091
1;2;1773006337707;0.2260734;1.142922;-13.01648;348.4657;4.879262;355.317
1;2;1773006337763;0.2267034;1.14354;-13.01592;348.395;5.390007;355.4466
1;2;1773006337819;0.2266338;1.143258;-13.01523;348.7341;5.513503;355.4609
1;2;1773006337874;0.2258198;1.1426;-13.01541;349.1915;5.246546;355.4984
1;2;1773006337930;0.2243577;1.143225;-13.01574;349.189;4.991696;355.785
1;2;1773006337986;0.222766;1.143245;-13.01742;349.4471;4.484966;356.1411
1;2;1773006338041;0.2216738;1.143645;-13.0171;348.8053;4.509948;355.7094
